subj,cond,shap,ssad,gender
101,3,4,5,2
102,2,1,1,1
103,1,3,3,2
104,3,3,5,2
105,2,1,6,2
106,1,6,7,2
107,2,1,7,2
108,3,4,5,2
109,1,6,1,2
110,1,4,1,1
111,3,3,5,1
112,2,7,3,2
113,2,4,1,2
114,1,2,2,2
115,3,6,2,1
116,2,4,1,1
118,1,2,7,2
119,1,4,4,1
120,3,7,1,2
121,2,1,5,2
122,2,4,4,1
123,1,3,4,1
124,3,1,6,2
125,1,1,5,1
126,3,7,1,2
127,2,6,1,2
128,3,2,7,1
129,2,4,5,2
130,1,2,6,1
132,1,2,6,1
133,2,7,1,1
135,3,4,2,1
201,3,4,5,2
202,2,4,4,1
203,1,4,4,2
204,3,4,1,2
205,2,1,6,2
206,1,2,2,2
207,2,3,5,2
208,3,7,1,2
209,1,5,2,1
210,1,5,5,2
212,2,5,1,1
213,2,7,1,1
215,3,4,4,1
216,2,1,7,1
218,1,1,7,2
219,1,6,2,2
220,3,7,2,2
221,2,3,3,2
222,2,5,2,2
223,1,3,4,1
224,3,5,1,2
225,1,5,2,1
226,3,5,2,2
227,2,7,1,2
228,3,7,1,2
229,2,7,4,2
231,2,6,2,2
232,3,5,2,2
233,1,1,6,1
234,1,2,7,1
235,2,2,6,2
301,3,1,6,2
302,2,5,1,1
303,1,6,1,2
304,3,5,1,2
305,2,2,7,1
306,1,2,6,1
307,2,2,6,1
308,3,6,2,2
310,1,4,1,2
311,3,6,1,2
312,2,4,4,1
313,2,5,1,1
314,1,7,7,2
315,3,7,1,1
316,2,5,2,2
317,3,4,4,2
318,1,6,1,1
319,1,6,2,2
320,3,5,5,2
321,2,7,1,2
323,1,2,7,1
324,3,5,2,1
325,1,5,1,1
326,3,5,1,2
327,2,6,3,2
328,3,5,1,2
329,2,7,1,2
331,1,5,3,1
332,2,6,4,2
333,3,3,6,2
334,3,3,1,1
